YIL,TICARET_TURU,GTIP_KODU,URUN_GRUBU,MIKTAR_KG,DEGER_USD,MIKTAR_TON,DEGER_MILYON
2021,Ithalat,2401,"Tobacco, unmanufactured; tobacco refuse",74417857.0,342040710.0,74417.86,34204.0
2021,Ithalat,2402,Sigara ve Puro,2777052.0,133973790.0,2777.05,13397.0
2021,Ithalat,2403,İşlenmiş Tütün,26518723.0,167833527.0,26518.72,16783.0
2021,Ihracat,2401,"Tobacco, unmanufactured; tobacco refuse",51691085.0,260941693.0,51691.09,26094.0
2021,Ihracat,2402,Sigara ve Puro,37311977.0,342236355.0,37311.98,34224.0
2021,Ihracat,2403,İşlenmiş Tütün,25567945.0,178501014.0,25567.95,1785.0
2022,Ithalat,2401,"Tobacco, unmanufactured; tobacco refuse",89769084.0,381935338.0,89769.08,38194.0
2022,Ithalat,2402,Sigara ve Puro,4571429.0,199983974.0,4571.43,19998.0
2022,Ithalat,2403,İşlenmiş Tütün,29002375.0,169477526.0,29002.38,16948.0
2022,Ihracat,2401,"Tobacco, unmanufactured; tobacco refuse",56409492.0,261113663.0,56409.49,26111.0
2022,Ihracat,2402,Sigara ve Puro,48741003.0,414846872.0,48741.0,41485.0
2022,Ihracat,2403,İşlenmiş Tütün,24226484.0,165091637.0,24226.48,16509.0
2023,Ithalat,2401,"Tobacco, unmanufactured; tobacco refuse",80785986.0,449903289.0,80785.99,4499.0
2023,Ithalat,2402,Sigara ve Puro,5369157.0,248376425.0,5369.16,24838.0
2023,Ithalat,2403,İşlenmiş Tütün,31768165.0,223531265.0,31768.17,22353.0
2023,Ihracat,2401,"Tobacco, unmanufactured; tobacco refuse",46635455.0,255791427.0,46635.46,25579.0
2023,Ihracat,2402,Sigara ve Puro,52629013.0,485091958.0,52629.01,48509.0
2023,Ihracat,2403,İşlenmiş Tütün,24016393.0,191943298.0,24016.39,19194.0
2024,Ithalat,2401,"Tobacco, unmanufactured; tobacco refuse",86363769.0,528248988.0,86363.77,52825.0
2024,Ithalat,2402,Sigara ve Puro,5820272.0,275231940.0,5820.27,27523.0
2024,Ithalat,2403,İşlenmiş Tütün,31940256.0,243831743.0,31940.26,24383.0
2024,Ihracat,2401,"Tobacco, unmanufactured; tobacco refuse",45798856.0,341461765.0,45798.86,34146.0
2024,Ihracat,2402,Sigara ve Puro,45146475.0,454154992.0,45146.48,45415.0
2024,Ihracat,2403,İşlenmiş Tütün,24449014.0,195065008.0,24449.01,19507.0
2025,Ithalat,2401,"Tobacco, unmanufactured; tobacco refuse",84018553.0,568069830.0,84018.55,56807.0
2025,Ithalat,2402,Sigara ve Puro,6582083.0,343244367.0,6582.08,34324.0
2025,Ithalat,2403,İşlenmiş Tütün,36344621.0,310300343.0,36344.62,3103.0
2025,Ihracat,2401,"Tobacco, unmanufactured; tobacco refuse",43119915.0,346659863.0,43119.92,34666.0
2025,Ihracat,2402,Sigara ve Puro,45832283.0,502550957.0,45832.28,50255.0
2025,Ihracat,2403,İşlenmiş Tütün,27493844.0,222188262.0,27493.84,22219.0
